fips,county,state,lat,long,date,cases,state_code,deaths
1001,Autauga,Alabama,32.53952745,-86.64408227,5/1/2020,43,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/2/2020,47,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/3/2020,51,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/4/2020,54,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/5/2020,54,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/6/2020,56,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/7/2020,58,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/8/2020,62,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/9/2020,63,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/10/2020,72,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/11/2020,81,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/12/2020,88,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/13/2020,90,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/14/2020,100,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/15/2020,100,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/16/2020,108,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/17/2020,118,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/18/2020,124,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/19/2020,130,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/20/2020,135,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/21/2020,148,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/22/2020,151,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/23/2020,156,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/24/2020,160,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/25/2020,171,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/26/2020,191,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/27/2020,192,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/28/2020,204,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/29/2020,211,AL,3
1001,Autauga,Alabama,32.53952745,-86.64408227,5/30/2020,216,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,5/31/2020,227,AL,4
1001,Autauga,Alabama,32.53952745,-86.64408227,6/1/2020,237,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/2/2020,239,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/3/2020,241,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/4/2020,248,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/5/2020,259,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/6/2020,264,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/7/2020,271,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/8/2020,282,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/9/2020,295,AL,5
1001,Autauga,Alabama,32.53952745,-86.64408227,6/10/2020,315,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/11/2020,323,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/12/2020,334,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/13/2020,361,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/14/2020,369,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/15/2020,371,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/16/2020,377,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/17/2020,404,AL,6
1001,Autauga,Alabama,32.53952745,-86.64408227,6/18/2020,415,AL,7
1001,Autauga,Alabama,32.53952745,-86.64408227,6/19/2020,435,AL,7
1001,Autauga,Alabama,32.53952745,-86.64408227,6/20/2020,438,AL,8
1001,Autauga,Alabama,32.53952745,-86.64408227,6/21/2020,447,AL,8
1001,Autauga,Alabama,32.53952745,-86.64408227,6/22/2020,458,AL,8
1001,Autauga,Alabama,32.53952745,-86.64408227,6/23/2020,474,AL,8
1001,Autauga,Alabama,32.53952745,-86.64408227,6/24/2020,480,AL,10
1001,Autauga,Alabama,32.53952745,-86.64408227,6/25/2020,493,AL,10
1001,Autauga,Alabama,32.53952745,-86.64408227,6/26/2020,500,AL,10
1001,Autauga,Alabama,32.53952745,-86.64408227,6/27/2020,505,AL,11
1001,Autauga,Alabama,32.53952745,-86.64408227,6/28/2020,528,AL,11
1001,Autauga,Alabama,32.53952745,-86.64408227,6/29/2020,538,AL,11
1001,Autauga,Alabama,32.53952745,-86.64408227,6/30/2020,554,AL,11
1001,Autauga,Alabama,32.53952745,-86.64408227,7/1/2020,562,AL,11
1001,Autauga,Alabama,32.53952745,-86.64408227,7/2/2020,570,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/3/2020,584,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/4/2020,601,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/5/2020,620,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/6/2020,623,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/7/2020,656,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/8/2020,663,AL,12
1001,Autauga,Alabama,32.53952745,-86.64408227,7/9/2020,670,AL,13
1001,Autauga,Alabama,32.53952745,-86.64408227,7/10/2020,691,AL,14
1001,Autauga,Alabama,32.53952745,-86.64408227,7/11/2020,708,AL,14
1001,Autauga,Alabama,32.53952745,-86.64408227,7/12/2020,736,AL,15
1001,Autauga,Alabama,32.53952745,-86.64408227,7/13/2020,749,AL,15
1001,Autauga,Alabama,32.53952745,-86.64408227,7/14/2020,764,AL,17
1001,Autauga,Alabama,32.53952745,-86.64408227,7/15/2020,785,AL,18
1001,Autauga,Alabama,32.53952745,-86.64408227,7/16/2020,797,AL,19
1001,Autauga,Alabama,32.53952745,-86.64408227,7/17/2020,822,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/18/2020,850,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/19/2020,862,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/20/2020,872,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/21/2020,885,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/22/2020,905,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/23/2020,918,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/24/2020,939,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/25/2020,953,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/26/2020,971,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/27/2020,988,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/28/2020,995,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/29/2020,1006,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/30/2020,1029,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,7/31/2020,1042,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,8/1/2020,1064,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,8/2/2020,1078,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,8/3/2020,1086,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,8/4/2020,1086,AL,20
1001,Autauga,Alabama,32.53952745,-86.64408227,8/5/2020,1109,AL,21
1001,Autauga,Alabama,32.53952745,-86.64408227,8/6/2020,1126,AL,21
1001,Autauga,Alabama,32.53952745,-86.64408227,8/7/2020,1145,AL,21
1001,Autauga,Alabama,32.53952745,-86.64408227,8/8/2020,1175,AL,21
1001,Autauga,Alabama,32.53952745,-86.64408227,8/9/2020,1186,AL,21
1001,Autauga,Alabama,32.53952745,-86.64408227,8/10/2020,1200,AL,21
1001,Autauga,Alabama,32.53952745,-86.64408227,8/11/2020,1224,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/12/2020,1229,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/13/2020,1235,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/14/2020,1245,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/15/2020,1252,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/16/2020,1258,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/17/2020,1276,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/18/2020,1281,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/19/2020,1293,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/20/2020,1304,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/21/2020,1316,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/22/2020,1318,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/23/2020,1337,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/24/2020,1343,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/25/2020,1357,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/26/2020,1365,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/27/2020,1375,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/28/2020,1391,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/29/2020,1424,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/30/2020,1429,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,8/31/2020,1440,AL,22
1001,Autauga,Alabama,32.53952745,-86.64408227,9/1/2020,1442,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/2/2020,1454,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/3/2020,1462,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/4/2020,1474,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/5/2020,1477,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/6/2020,1488,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/7/2020,1494,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/8/2020,1505,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/9/2020,1526,AL,23
1001,Autauga,Alabama,32.53952745,-86.64408227,9/10/2020,1530,AL,23
